Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,53.04749,µg/m3,2017-01-02 18:00:00 +01:00,2017-01-02 19:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,72.96181,µg/m3,2017-01-02 19:00:00 +01:00,2017-01-02 20:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,57.10305,µg/m3,2017-01-02 20:00:00 +01:00,2017-01-02 21:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,60.35515,µg/m3,2017-01-02 21:00:00 +01:00,2017-01-02 22:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,55.01787999,µg/m3,2017-01-02 22:00:00 +01:00,2017-01-02 23:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,37.99217999,µg/m3,2017-01-02 23:00:00 +01:00,2017-01-03 00:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,16.45179999,µg/m3,2017-01-03 00:00:00 +01:00,2017-01-03 01:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,27.64284999,µg/m3,2017-01-03 01:00:00 +01:00,2017-01-03 02:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,33.45837,µg/m3,2017-01-03 02:00:00 +01:00,2017-01-03 03:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,18.30741,µg/m3,2017-01-03 03:00:00 +01:00,2017-01-03 04:00:00 +01:00,1,1
